timestamp_15mins,Threshold (TRSH),Latitudes,Longitudes
2022-09-01 00:00:00+00:00,68.66895200783546,32.25952,-92.94344
2022-09-01 00:15:00+00:00,68.62920692691121,32.265152,-92.83293
2022-09-01 00:30:00+00:00,68.62846281812159,32.14658,-92.63534
2022-09-01 00:45:00+00:00,68.55130522413273,32.07502,-92.64413
2022-09-01 01:00:00+00:00,68.52857615572705,32.03793,-92.75749
2022-09-01 01:15:00+00:00,68.51314070462027,32.018787,-92.8558
2022-09-01 01:30:00+00:00,68.47317394670513,32.005272,-92.947655
2022-09-01 01:45:00+00:00,68.43294886722587,32.025593,-92.99432
2022-09-01 02:00:00+00:00,68.40335234532829,32.067562,-92.98031
2022-09-01 02:15:00+00:00,68.3405924047138,32.053364,-93.014145
2022-09-01 02:30:00+00:00,68.27220367757306,32.10057,-93.114296
2022-09-01 02:45:00+00:00,68.2382319386201,32.26448,-93.37755
2022-09-01 03:00:00+00:00,68.24721183962967,32.498096,-93.64873
2022-09-01 03:15:00+00:00,68.17231291724129,32.697346,-93.85121
2022-09-01 03:30:00+00:00,68.07675130257614,32.988434,-94.19809
2022-09-01 03:45:00+00:00,68.05417018083841,33.227154,-94.53064
2022-09-01 04:00:00+00:00,67.98932480195343,33.384266,-94.8486
2022-09-01 04:15:00+00:00,67.94215797509682,33.572346,-95.33824
2022-09-01 04:30:00+00:00,67.92284725818057,33.734596,-95.81309
2022-09-01 04:45:00+00:00,67.85384308285252,33.866238,-96.181
2022-09-01 05:00:00+00:00,67.84569737955403,34.154278,-96.66238
2022-09-01 05:15:00+00:00,67.8620792083844,34.399097,-97.009186
2022-09-01 05:30:00+00:00,67.83019943099808,34.715805,-97.38554
2022-09-01 05:45:00+00:00,67.82094917175274,34.893555,-97.488945
2022-09-01 06:00:00+00:00,67.76250180666949,34.95029,-97.46384
2022-09-01 06:15:00+00:00,67.67580386982115,35.173294,-97.54326
2022-09-01 06:30:00+00:00,67.61176202928128,35.309486,-97.746574
2022-09-01 06:45:00+00:00,67.59470589149248,35.303055,-97.489586
2022-09-01 07:00:00+00:00,67.50075280053396,35.113358,-97.27176
2022-09-01 07:15:00+00:00,67.48454441733526,34.716003,-96.59375
2022-09-01 07:30:00+00:00,67.40091077044207,34.141006,-95.742645
2022-09-01 07:45:00+00:00,67.3918388668206,33.648308,-95.24182
2022-09-01 08:00:00+00:00,67.36653518623389,33.228596,-94.77847
2022-09-01 08:15:00+00:00,67.36445211841817,32.976097,-94.319305
2022-09-01 08:30:00+00:00,67.30328948354477,32.711464,-93.80722
