timestamp_15mins,temperature,dewpoint,dew_point_spread,wind_speed_mps,pressure,visibility_meters,sky_cover,altitude_ft,cumulonimbus
2023-05-23 00:00:00+00:00,16.450361354127043,9.368661837590546,7.0621425848265345,7.940142425550281,1014.4657708119219,10720.276584599267,3.0,4000.0,0.0
2023-05-23 00:15:00+00:00,23.16764361078546,9.677315357561547,13.490328253223916,6.134525330899133,1016.6210520163647,15636.87737359872,0.0,11000.0,0.0
2023-05-23 00:30:00+00:00,16.78381046396841,11.113524185587364,5.670286278381046,8.21420256111758,1015.4282905138341,9732.657342657343,8.0,2900.0,0.0
2023-05-23 00:45:00+00:00,18.177951743612113,10.652110930002983,7.525840813609127,6.563550791959441,1017.1215284344871,12433.509734451596,1.0,10000.0,0.0
2023-05-23 01:00:00+00:00,16.605156902362825,10.431669017588916,6.164070912831625,8.023144566963497,1015.0274110226828,10112.398468282987,1.0,3000.0,0.0
2023-05-23 01:15:00+00:00,19.058029973338034,10.758801702607457,8.299228270730577,6.816235333640211,1016.0877967275053,12689.751592221168,8.0,2000.0,0.0
2023-05-23 01:30:00+00:00,16.902199349631264,11.112754234247513,5.7865183847700905,8.145597285125,1015.5758282794882,9646.375949265635,5.0,8000.0,0.0
2023-05-23 01:45:00+00:00,17.521864243037758,10.813146272251245,6.706766817044074,6.997988118140888,1016.8382688529922,11535.340004824431,5.0,8000.0,0.0
2023-05-23 02:00:00+00:00,16.733034936863298,10.750950739498341,5.973043506513394,8.077082020448778,1015.3181169443351,9890.650259835957,5.0,8000.0,0.0
2023-05-23 02:15:00+00:00,17.696605533621,10.916900372723001,6.77775400715556,7.161897339554526,1016.1267472938998,11663.24050248994,5.0,8000.0,0.0
2023-05-23 02:30:00+00:00,17.050445824924243,11.193097233192958,5.854270606888309,8.151055124389902,1015.5940761904112,9602.232970310875,5.0,8000.0,0.0
2023-05-23 02:45:00+00:00,17.119517537010015,11.027248667468974,6.089960380908806,7.2247556290067125,1016.7220248044999,10984.01388214492,0.0,14000.0,0.0
2023-05-23 03:00:00+00:00,16.83739295617312,10.839971878195845,5.991246433427101,8.11257902031631,1015.4100461076009,9768.689626348389,3.0,3000.0,0.0
2023-05-23 03:15:00+00:00,17.209875743807267,11.020317296662288,6.187249958512748,7.3088562105105375,1016.1434150423242,11108.674618966568,1.0,8500.0,0.0
2023-05-23 03:30:00+00:00,17.26537632328351,11.272172084142987,5.990851323118754,8.096488445534089,1015.5689143562472,9622.810890908459,3.0,1000.0,0.0
2023-05-23 03:45:00+00:00,17.111655897336483,11.26806024795955,5.8417133165595185,7.174651625992489,1016.5680016148679,10676.875028516242,1.0,300.0,0.0
2023-05-23 04:00:00+00:00,17.11884733402184,11.030558180134902,6.083706699520644,8.06746561022844,1015.4249868696131,9730.03914358849,8.0,1000.0,0.0
2023-05-23 04:15:00+00:00,17.172121417908244,11.08468377509882,6.085555309992008,7.406689669943134,1016.0695830209357,10833.55805014203,1.0,2000.0,0.0
2023-05-23 04:30:00+00:00,17.480809345919624,11.248897888308864,6.2300291247933455,8.188705765255992,1015.5736204230509,9552.01321744375,1.0,1600.0,0.0
