timestamp_15mins,visibility_meters,has_wind,wind_direction,wind_is_variable,wind_speed_kt,wind_gust_kt,qnh_hpa,sky_cover,altitude_ft,cumulonimbus,probability,has_prob,temperature_delta,weather_score
2022-10-23 00:00:00+00:00,6859.7,1,155.0,0,6.077272727272727,22.40909090909091,101507.0,1.0,3000.0,0.0,0.9,False,8.0,0.5886363636363636
2022-10-23 00:15:00+00:00,9999.0,1,137.0,0,8.5,23.0,101507.0,3.0,1300.0,0.0,0.9,False,8.0,1.25
2022-10-23 00:30:00+00:00,9624.25,1,179.0,0,9.590909090909092,39.0,101507.0,1.0,2000.0,0.0,0.9,False,9.0,0.2727272727272727
2022-10-23 00:45:00+00:00,8499.75,1,263.0,0,5.8,23.0,101507.0,5.0,2000.0,0.0,0.9,False,9.0,0.0
2022-10-23 01:00:00+00:00,8624.931034482759,1,235.0,0,6.797297297297297,20.666666666666668,101107.85714285714,1.0,900.0,0.0,0.9,False,9.0,0.16
2022-10-23 01:15:00+00:00,8827.833333333334,1,231.0,0,8.625,17.25,101107.85714285714,3.0,2500.0,0.0,0.9,False,9.0,0.0
2022-10-23 01:30:00+00:00,8642.8,1,158.0,0,8.4,17.25,101107.85714285714,1.0,3000.0,0.0,0.9,False,9.0,0.5
2022-10-23 01:45:00+00:00,9999.0,1,76.0,0,6.0,17.25,100813.0,3.0,2500.0,0.0,0.9,False,9.0,0.0
2022-10-23 02:00:00+00:00,6636.8125,1,186.0,0,7.587301587301587,20.333333333333332,99763.0,3.0,300.0,0.0,0.9,False,9.0,0.14285714285714285
2022-10-23 02:15:00+00:00,9999.0,1,186.0,0,7.571428571428571,20.333333333333332,102506.0,3.0,20000.0,0.0,0.9,False,9.0,0.0
2022-10-23 02:30:00+00:00,6437.0,1,212.0,0,7.583333333333333,20.333333333333332,102506.0,3.0,20000.0,0.0,0.9,False,9.0,0.0
2022-10-23 02:45:00+00:00,9310.2,1,230.0,0,9.0,20.333333333333332,100745.0,3.0,2500.0,0.0,0.9,False,9.0,0.0
2022-10-23 03:00:00+00:00,9194.123529411765,1,183.0,0,7.871428571428571,22.795454545454547,101199.2,1.0,4000.0,0.0,0.9,False,12.0,0.07142857142857142
